2025-11-17 17:49:53.574 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-11-17 17:49:53.648 [main] INFO  dev.tagtag.start.StartApplication - Starting StartApplication using Java 17.0.12 with PID 10828 (D:\dev\github\admin\openwj\tagtag\tagtag\tagtag-start\target\classes started by w80201 in D:\dev\github\admin\openwj\tagtag\tagtag)
2025-11-17 17:49:53.650 [main] INFO  dev.tagtag.start.StartApplication - The following 1 profile is active: "dev"
2025-11-17 17:49:54.657 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-11-17 17:49:54.661 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-11-17 17:49:54.701 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20 ms. Found 0 Redis repository interfaces.
2025-11-17 17:49:55.138 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'stringOrNumberMigrationVersionConverter' of type [org.springframework.boot.autoconfigure.flyway.FlywayAutoConfiguration$StringOrNumberToMigrationVersionConverter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [projectingArgumentResolverBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-11-17 17:49:55.369 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-11-17 17:49:55.381 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-11-17 17:49:55.382 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-11-17 17:49:55.383 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
2025-11-17 17:49:55.441 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-11-17 17:49:55.441 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1735 ms
2025-11-17 17:49:55.799 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-11-17 17:49:56.154 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@163fbbc9
2025-11-17 17:49:56.155 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-11-17 17:49:56.155 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-11-17 17:49:56.155 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2025-11-17 17:49:56.619 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/tagtag-v2?useUnicode=true&characterEncoding=utf8&serverTimezone=Asia/Shanghai (MySQL 8.0)
2025-11-17 17:49:56.784 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.057s)
2025-11-17 17:49:56.809 [main] WARN  o.f.core.internal.command.DbMigrate - Enabling the 'group' parameter is recommended only for databases that support DDL transactions. Using this parameter with MySQL may cause undefined behavior in Flyway
2025-11-17 17:49:56.814 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema `tagtag-v2`: 2
2025-11-17 17:49:56.818 [main] INFO  o.f.core.internal.command.DbMigrate - Schema `tagtag-v2` is up to date. No migration necessary.
2025-11-17 17:49:57.491 [main] INFO  c.b.m.e.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@60297f36
2025-11-17 17:49:57.722 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-11-17 17:49:57.738 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-11-17 17:49:57.746 [main] INFO  dev.tagtag.start.StartApplication - Started StartApplication in 4.801 seconds (process running for 6.17)
2025-11-17 17:49:57.750 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/tagtag-v2?useUnicode=true&characterEncoding=utf8&serverTimezone=Asia/Shanghai (MySQL 8.0)
2025-11-17 17:49:57.778 [main] INFO  o.f.c.i.command.clean.CleanExecutor - Successfully dropped pre-schema database level objects (execution time 00:00.001s)
2025-11-17 17:49:58.446 [main] INFO  o.f.c.i.command.clean.CleanExecutor - Successfully cleaned schema `tagtag-v2` (execution time 00:00.666s)
2025-11-17 17:49:58.455 [main] INFO  o.f.c.i.command.clean.CleanExecutor - Successfully cleaned schema `tagtag-v2` (execution time 00:00.008s)
2025-11-17 17:49:58.457 [main] INFO  o.f.c.i.command.clean.CleanExecutor - Successfully dropped post-schema database level objects (execution time 00:00.001s)
2025-11-17 17:49:58.462 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/tagtag-v2?useUnicode=true&characterEncoding=utf8&serverTimezone=Asia/Shanghai (MySQL 8.0)
2025-11-17 17:49:58.480 [main] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Schema history table `tagtag-v2`.`flyway_schema_history` does not exist yet
2025-11-17 17:49:58.481 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.006s)
2025-11-17 17:49:58.513 [main] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Creating Schema History table `tagtag-v2`.`flyway_schema_history` ...
2025-11-17 17:49:58.698 [main] WARN  o.f.core.internal.command.DbMigrate - Enabling the 'group' parameter is recommended only for databases that support DDL transactions. Using this parameter with MySQL may cause undefined behavior in Flyway
2025-11-17 17:49:58.702 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema `tagtag-v2`: << Empty Schema >>
2025-11-17 17:49:58.716 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema `tagtag-v2` to version "1 - init"
2025-11-17 17:49:58.737 [main] WARN  o.f.c.i.s.DefaultSqlScriptExecutor - DB: Unknown table 'tagtag-v2.iam_user_role' (SQL State: 42S02 - Error Code: 1051)
2025-11-17 17:49:58.741 [main] WARN  o.f.c.i.s.DefaultSqlScriptExecutor - DB: Unknown table 'tagtag-v2.iam_role_menu' (SQL State: 42S02 - Error Code: 1051)
2025-11-17 17:49:58.744 [main] WARN  o.f.c.i.s.DefaultSqlScriptExecutor - DB: Unknown table 'tagtag-v2.iam_user' (SQL State: 42S02 - Error Code: 1051)
2025-11-17 17:49:58.747 [main] WARN  o.f.c.i.s.DefaultSqlScriptExecutor - DB: Unknown table 'tagtag-v2.iam_role' (SQL State: 42S02 - Error Code: 1051)
2025-11-17 17:49:58.750 [main] WARN  o.f.c.i.s.DefaultSqlScriptExecutor - DB: Unknown table 'tagtag-v2.iam_menu' (SQL State: 42S02 - Error Code: 1051)
2025-11-17 17:49:58.753 [main] WARN  o.f.c.i.s.DefaultSqlScriptExecutor - DB: Unknown table 'tagtag-v2.iam_dept' (SQL State: 42S02 - Error Code: 1051)
2025-11-17 17:49:59.222 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema `tagtag-v2` to version "2 - seed"
2025-11-17 17:49:59.266 [main] INFO  o.f.core.internal.command.DbMigrate - Successfully applied 2 migrations to schema `tagtag-v2`, now at version v2 (execution time 00:00.516s)
2025-11-17 17:49:59.275 [main] WARN  o.s.c.events.SpringDocAppInitializer - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2025-11-17 17:49:59.275 [main] WARN  o.s.c.events.SpringDocAppInitializer - SpringDoc /swagger-ui endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2025-11-17 17:50:13.151 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-17 17:50:13.152 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-11-17 17:50:13.153 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-11-17 17:53:20.232 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-11-17 17:53:20.296 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-11-17 17:53:20.312 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2025-11-17 17:53:20.315 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2025-11-17 17:53:20.326 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2025-11-17 17:53:20.326 [SpringApplicationShutdownHook] INFO  c.b.d.d.d.DefaultDataSourceDestroyer - dynamic-datasource close the datasource named [master] success,
2025-11-17 17:53:20.326 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2025-11-17 17:55:26.666 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-11-17 17:55:26.725 [main] INFO  dev.tagtag.start.StartApplication - Starting StartApplication using Java 17.0.12 with PID 32744 (D:\dev\github\admin\openwj\tagtag\tagtag\tagtag-start\target\classes started by w80201 in D:\dev\github\admin\openwj\tagtag\tagtag)
2025-11-17 17:55:26.725 [main] INFO  dev.tagtag.start.StartApplication - The following 1 profile is active: "dev"
2025-11-17 17:55:27.495 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-11-17 17:55:27.497 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-11-17 17:55:27.518 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2025-11-17 17:55:27.870 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'stringOrNumberMigrationVersionConverter' of type [org.springframework.boot.autoconfigure.flyway.FlywayAutoConfiguration$StringOrNumberToMigrationVersionConverter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [projectingArgumentResolverBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-11-17 17:55:28.057 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-11-17 17:55:28.067 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-11-17 17:55:28.068 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-11-17 17:55:28.068 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
2025-11-17 17:55:28.135 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-11-17 17:55:28.136 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1372 ms
2025-11-17 17:55:28.411 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-11-17 17:55:28.674 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@48333b12
2025-11-17 17:55:28.675 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-11-17 17:55:28.676 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-11-17 17:55:28.676 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2025-11-17 17:55:29.085 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/tagtag-v2?useUnicode=true&characterEncoding=utf8&serverTimezone=Asia/Shanghai (MySQL 8.0)
2025-11-17 17:55:29.153 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.025s)
2025-11-17 17:55:29.173 [main] WARN  o.f.core.internal.command.DbMigrate - Enabling the 'group' parameter is recommended only for databases that support DDL transactions. Using this parameter with MySQL may cause undefined behavior in Flyway
2025-11-17 17:55:29.176 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema `tagtag-v2`: 2
2025-11-17 17:55:29.179 [main] INFO  o.f.core.internal.command.DbMigrate - Schema `tagtag-v2` is up to date. No migration necessary.
2025-11-17 17:55:29.798 [main] INFO  c.b.m.e.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@1f9d6c7b
2025-11-17 17:55:30.012 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-11-17 17:55:30.028 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-11-17 17:55:30.035 [main] INFO  dev.tagtag.start.StartApplication - Started StartApplication in 3.872 seconds (process running for 4.727)
2025-11-17 17:55:30.039 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/tagtag-v2?useUnicode=true&characterEncoding=utf8&serverTimezone=Asia/Shanghai (MySQL 8.0)
2025-11-17 17:55:30.057 [main] INFO  o.f.c.i.command.clean.CleanExecutor - Successfully dropped pre-schema database level objects (execution time 00:00.001s)
2025-11-17 17:55:30.448 [main] INFO  o.f.c.i.command.clean.CleanExecutor - Successfully cleaned schema `tagtag-v2` (execution time 00:00.389s)
2025-11-17 17:55:30.454 [main] INFO  o.f.c.i.command.clean.CleanExecutor - Successfully cleaned schema `tagtag-v2` (execution time 00:00.006s)
2025-11-17 17:55:30.456 [main] INFO  o.f.c.i.command.clean.CleanExecutor - Successfully dropped post-schema database level objects (execution time 00:00.001s)
2025-11-17 17:55:30.459 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/tagtag-v2?useUnicode=true&characterEncoding=utf8&serverTimezone=Asia/Shanghai (MySQL 8.0)
2025-11-17 17:55:30.475 [main] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Schema history table `tagtag-v2`.`flyway_schema_history` does not exist yet
2025-11-17 17:55:30.477 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.009s)
2025-11-17 17:55:30.496 [main] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Creating Schema History table `tagtag-v2`.`flyway_schema_history` ...
2025-11-17 17:55:30.591 [main] WARN  o.f.core.internal.command.DbMigrate - Enabling the 'group' parameter is recommended only for databases that support DDL transactions. Using this parameter with MySQL may cause undefined behavior in Flyway
2025-11-17 17:55:30.594 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema `tagtag-v2`: << Empty Schema >>
2025-11-17 17:55:30.607 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema `tagtag-v2` to version "1 - init"
2025-11-17 17:55:30.633 [main] WARN  o.f.c.i.s.DefaultSqlScriptExecutor - DB: Unknown table 'tagtag-v2.iam_user_role' (SQL State: 42S02 - Error Code: 1051)
2025-11-17 17:55:30.636 [main] WARN  o.f.c.i.s.DefaultSqlScriptExecutor - DB: Unknown table 'tagtag-v2.iam_role_menu' (SQL State: 42S02 - Error Code: 1051)
